
2025/01/10 (22:57:19) | ===> btop++ v.1.4.0
2025/01/10 (22:57:19) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/10 (22:58:58) | ===> btop++ v.1.4.0
2025/01/10 (22:58:58) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/10 (23:00:25) | ===> btop++ v.1.4.0
2025/01/10 (23:00:25) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/10 (23:01:22) | ===> btop++ v.1.4.0
2025/01/10 (23:01:22) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/10 (23:01:41) | ===> btop++ v.1.4.0
2025/01/10 (23:01:41) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/10 (23:01:49) | ===> btop++ v.1.4.0
2025/01/10 (23:01:49) | WARNING: Intel GPU: Failed to initialize PMU
2025/01/10 (23:02:53) | INFO: Logger set to INFO
